match_id,team_a,team_b,team_a_goals_for,team_a_goals_against,team_a_clean_sheet_flag,team_a_goals_for_avg_last_3,team_a_goals_against_avg_last_3,team_a_goal_diff_avg_last_3,team_a_goals_for_avg_last_5,team_a_goals_against_avg_last_5,team_a_goal_diff_avg_last_5,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_goals_for_sum_last_5,team_a_clean_sheet_rate_last_5,team_b_goals_for,team_b_goals_against,team_b_clean_sheet_flag,team_b_goals_for_avg_last_3,team_b_goals_against_avg_last_3,team_b_goal_diff_avg_last_3,team_b_goals_for_avg_last_5,team_b_goals_against_avg_last_5,team_b_goal_diff_avg_last_5,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_goals_for_sum_last_5,team_b_clean_sheet_rate_last_5,goals_for_avg_last_5_diff,goals_against_avg_last_5_diff,goal_diff_avg_last_5_diff,clean_sheet_rate_last_5_diff
1,Mexico,South Africa,2.0,0.0,1.0,2.0,0.0,2.0,2.4,0.2,2.2,2.0,0.2,1.8,12.0,0.8,0.0,1.0,0.0,0.6666666666666666,1.0,-0.3333333333333333,0.6,0.6,0.0,0.9,1.1,-0.2,3.0,0.6,1.7999999999999998,-0.39999999999999997,2.2,0.20000000000000007
2,South Korea,Winner UEFA Playoff D,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.6,0.6,1.0,1.3,1.2,0.1,8.0,0.4,,,,,,,,,,,,,,,,,,
3,Canada,Winner UEFA Playoff A,0.0,3.0,0.0,2.6666666666666665,0.6666666666666666,2.0,2.0,0.8,1.2,1.6,0.6,1.0,10.0,0.4,,,,,,,,,,,,,,,,,,
4,United States,Paraguay,2.0,0.0,1.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.4,1.6,0.8,2.3,1.8,0.5,12.0,0.2,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.4,1.0,0.4,1.2,1.2,0.0,7.0,0.6,1.0,0.6000000000000001,0.4,-0.39999999999999997
5,Qatar,Switzerland,1.0,3.0,0.0,0.3333333333333333,2.3333333333333335,-2.0,0.2,2.2,-2.0,0.5,1.6,-1.1,1.0,0.2,2.0,0.0,1.0,2.3333333333333335,1.0,1.3333333333333333,2.4,1.0,1.4,2.0,1.1,0.9,12.0,0.0,-2.1999999999999997,1.2000000000000002,-3.4,0.2
6,Brazil,Morocco,2.0,1.0,0.0,2.3333333333333335,0.3333333333333333,2.0,3.0,0.8,2.2,2.4,1.1,1.3,15.0,0.4,3.0,0.0,1.0,2.0,1.0,1.0,1.6,1.0,0.6,2.3,0.7,1.6,8.0,0.2,1.4,-0.19999999999999996,1.6,0.2
7,Haiti,Scotland,2.0,4.0,0.0,0.3333333333333333,2.0,-1.6666666666666667,1.2,1.4,-0.2,1.2,1.1,0.1,6.0,0.2,0.0,3.0,0.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.8,0.6,1.2,2.0,1.1,0.9,9.0,0.4,-0.6000000000000001,0.7999999999999999,-1.4,-0.2
8,Australia,Winner UEFA Playoff C,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6,0.8,-0.2,1.0,1.1,-0.1,3.0,0.4,,,,,,,,,,,,,,,,,,
9,Germany,Curaçao,1.0,1.0,0.0,3.3333333333333335,1.3333333333333333,2.0,3.2,1.0,2.2,3.1,0.9,2.2,16.0,0.2,0.0,2.0,0.0,1.6666666666666667,2.3333333333333335,-0.6666666666666666,1.4,3.2,-1.8,1.7,1.9,-0.2,7.0,0.4,1.8000000000000003,-2.2,4.0,-0.2
10,Netherlands,Japan,1.0,1.0,0.0,3.3333333333333335,1.3333333333333333,2.0,2.4,1.2,1.2,2.4,0.9,1.5,12.0,0.0,1.0,2.0,0.0,2.3333333333333335,1.0,1.3333333333333333,1.8,0.6,1.2,2.0,0.7,1.3,9.0,0.6,0.5999999999999999,0.6,0.0,-0.6
11,Ivory Coast,Ecuador,1.0,2.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.4,0.6,0.8,2.0,0.9,1.1,7.0,0.6,0.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.4,0.6,0.8,1.2,0.6,0.6,7.0,0.4,0.0,0.0,0.0,0.19999999999999996
12,Winner UEFA Playoff B,Tunisia,,,,,,,,,,,,,,,1.0,3.0,0.0,0.3333333333333333,4.666666666666667,-4.333333333333333,0.2,3.0,-2.8,0.9,2.1,-1.2,1.0,0.2,,,,
13,Spain,Cabo Verde,3.0,0.0,1.0,1.6666666666666667,0.0,1.6666666666666667,1.8,0.4,1.4,2.2,0.4,1.8,9.0,0.6,,,,,,,,,,,,,,,,,,
14,Belgium,Egypt,3.0,2.0,0.0,2.0,0.6666666666666666,1.3333333333333333,2.6,0.4,2.2,3.1,0.8,2.3,13.0,0.6,1.0,1.0,0.0,1.6666666666666667,1.0,0.6666666666666666,1.4,1.0,0.4,1.4,0.8,0.6,7.0,0.2,1.2000000000000002,-0.6,1.8000000000000003,0.39999999999999997
15,Saudi Arabia,Uruguay,0.0,0.0,1.0,0.3333333333333333,1.6666666666666667,-1.3333333333333333,1.0,1.4,-0.4,0.8,1.6,-0.8,5.0,0.4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.8,-0.8,1.1,1.0,0.1,5.0,0.2,0.0,-0.40000000000000013,0.4,0.2
16,Iran,New Zealand,1.0,1.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.4,0.6,1.8,1.6,0.7,0.9,12.0,0.6,1.0,5.0,0.0,1.0,2.0,-1.0,1.4,2.2,-0.8,0.9,1.9,-1.0,7.0,0.0,1.0,-1.6,2.6,0.6
17,France,Senegal,1.0,0.0,1.0,3.3333333333333335,0.3333333333333333,3.0,3.2,0.6,2.6,2.9,0.8,2.1,16.0,0.4,2.0,3.0,0.0,2.6666666666666665,2.0,0.6666666666666666,2.0,1.8,0.2,1.7,1.3,0.4,10.0,0.4,1.2000000000000002,-1.2000000000000002,2.4,0.0
18,Winner FIFA Playoff 2,Norway,,,,,,,,,,,,,,,2.0,1.0,0.0,2.6666666666666665,2.3333333333333335,0.3333333333333333,2.4,1.8,0.6,2.2,1.4,0.8,12.0,0.0,,,,
19,Argentina,Algeria,3.0,2.0,0.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,2.6,0.2,2.4,2.9,0.2,2.7,13.0,0.8,0.0,2.0,0.0,1.6666666666666667,2.3333333333333335,-0.6666666666666666,2.0,1.4,0.6,2.1,1.0,1.1,10.0,0.4,0.6000000000000001,-1.2,1.7999999999999998,0.4
