match_id,team_a_elo_rating,team_b_elo_rating,elo_rating_diff,team_a_elo_rank,team_b_elo_rank,elo_rank_diff,team_a_fifa_rank,team_b_fifa_rank,fifa_rank_diff,team_a_fifa_points,team_b_fifa_points,fifa_points_diff
1,,,,,,,14.0,60.0,46.0,1687.481759,1428.379282,259.1024769999999
2,,,,,,,25.0,,,1591.630886,,
3,,,,,,,30.0,,,1559.479301,,
4,,,,,,,17.0,40.0,23.0,1671.2341,1505.349689,165.884411
5,,,,,,,57.0,19.0,-38.0,1450.307729,1650.064179,-199.75644999999986
6,,,,,,,6.0,7.0,1.0,1765.856297,1755.100232,10.756065000000035
7,,,,,,,83.0,42.0,-41.0,1293.096585,1503.34027,-210.2436849999999
8,,,,,,,27.0,,,1579.34264,,
9,,,,,,,10.0,82.0,72.0,1735.771984,1294.76909,441.00289399999997
10,,,,,,,8.0,18.0,10.0,1751.097835,1661.576187,89.52164800000014
11,,,,,,,33.0,23.0,-10.0,1540.869533,1598.51582,-57.64628700000003
12,,,,,,,,46.0,,,1476.405088,
13,,,,,,,2.0,67.0,65.0,1873.013187,1371.10798,501.905207
14,,,,,,,9.0,29.0,20.0,1742.235945,1562.367246,179.86869899999988
15,,,,,,,61.0,16.0,-45.0,1421.538339,1673.068603,-251.530264
16,,,,,,,20.0,85.0,65.0,1619.58163,1275.581062,344.00056799999993
17,,,,,,,3.0,15.0,12.0,1869.428449,1686.412769,183.01567999999997
18,,,,,,,,31.0,,,1557.437664,
19,,,,,,,1.0,28.0,27.0,1876.118331,1571.033293,305.08503799999994
20,,,,,,,24.0,63.0,39.0,1597.404087,1387.738222,209.66586499999994
21,,,,,,,5.0,,,1766.177547,,
22,,,,,,,4.0,11.0,7.0,1827.048678,1714.865572,112.18310600000018
23,,,,,,,73.0,34.0,-39.0,1346.881205,1539.155509,-192.27430400000003
24,,,,,,,50.0,13.0,-37.0,1461.208132,1698.351858,-237.14372600000002
25,,,,,,,,60.0,,,1428.379282,
26,,,,,,,19.0,,,1650.064179,,
27,,,,,,,30.0,57.0,27.0,1559.479301,1450.307729,109.17157199999997
28,,,,,,,14.0,25.0,11.0,1687.481759,1591.630886,95.85087300000009
29,,,,,,,17.0,27.0,10.0,1671.2341,1579.34264,91.89145999999982
30,,,,,,,42.0,7.0,-35.0,1503.34027,1755.100232,-251.7599620000001
31,,,,,,,6.0,83.0,77.0,1765.856297,1293.096585,472.75971200000004
32,,,,,,,,40.0,,,1505.349689,
33,,,,,,,8.0,,,1751.097835,,
34,,,,,,,10.0,33.0,23.0,1735.771984,1540.869533,194.90245099999993
35,,,,,,,23.0,82.0,59.0,1598.51582,1294.76909,303.74673000000007
36,,,,,,,46.0,18.0,-28.0,1476.405088,1661.576187,-185.1710989999999
37,,,,,,,2.0,61.0,59.0,1873.013187,1421.538339,451.47484800000007
