match_id,team_a_days_since_last_match,team_a_matches_last_30_days,team_b_days_since_last_match,team_b_matches_last_30_days,rest_days_diff,match_congestion_diff
1,7,3,5,2,2,1
2,1,3,,0,,3
3,7,2,,0,,2
4,1,3,1,2,0,1
5,7,2,7,2,0,0
6,7,2,6,3,1,-1
7,1,3,1,3,0,0
8,1,3,,0,,3
9,8,2,8,2,0,0
10,6,2,14,1,-8,1
11,10,1,7,2,3,-1
12,,0,1,3,,-3
13,7,2,,0,,2
14,9,2,9,2,0,0
15,6,3,76,0,-70,3
16,1,3,1,3,0,0
17,8,2,7,2,1,0
18,,0,9,2,,-2
19,1,3,1,3,0,0
20,1,2,1,3,0,-1
21,7,2,,0,,2
22,7,2,10,2,-3,0
23,15,2,11,3,4,-1
24,1,3,1,3,0,0
25,,0,7,3,,-3
26,5,3,,0,,3
27,1,4,1,4,0,0
28,1,5,1,4,0,1
29,7,3,6,3,1,0
30,6,3,6,4,0,-1
31,1,4,1,4,0,0
32,,0,1,3,,-3
33,6,3,,0,,3
34,6,3,6,2,0,1
35,1,4,1,4,0,0
36,1,4,1,3,0,1
37,6,3,6,4,0,-1
38,6,3,6,3,0,0
39,6,1,,0,,1
40,1,4,1,4,0,0
41,6,3,6,2,0,1
42,6,3,,0,,3
43,1,4,1,4,0,0
44,1,4,1,4,0,0
45,6,3,6,3,0,0
46,6,3,6,2,0,1
47,6,4,6,3,0,1
48,1,4,,0,,4
49,6,4,6,4,0,0
50,,0,6,4,,-4
51,5,4,5,4,0,0
52,5,5,5,4,0,1
53,,0,1,5,,-5
54,1,5,1,5,0,0
55,5,4,5,3,0,1
56,5,4,5,4,0,0
57,1,4,,0,,4
58,1,5,1,5,0,0
59,,0,1,5,,-5
60,1,4,1,5,0,-1
61,4,4,4,4,0,0
62,4,4,,0,,4
63,,0,1,6,,-6
64,1,3,1,5,0,-2
65,1,5,1,5,0,0
66,1,5,1,5,0,0
67,4,5,4,4,0,1
68,4,4,4,3,0,1
69,4,4,4,4,0,0
70,,0,4,4,,-4
71,1,5,1,4,0,1
72,1,5,1,5,0,0
73,,0,,0,,0
74,,0,,0,,0
75,,0,,0,,0
76,,0,,0,,0
77,,0,,0,,0
78,,0,,0,,0
79,,0,,0,,0
80,,0,,0,,0
81,,0,,0,,0
82,,0,,0,,0
83,,0,,0,,0
84,,0,,0,,0
85,,0,,0,,0
86,,0,,0,,0
87,,0,,0,,0
88,,0,,0,,0
89,,0,,0,,0
90,,0,,0,,0
91,,0,,0,,0
92,,0,,0,,0
93,,0,,0,,0
94,,0,,0,,0
95,,0,,0,,0
96,,0,,0,,0
97,,0,,0,,0
98,,0,,0,,0
99,,0,,0,,0
100,,0,,0,,0
101,,0,,0,,0
102,,0,,0,,0
103,,0,,0,,0
104,,0,,0,,0
