match_id,date,stage,group,team_a,team_b,venue,city,country,status,source,last_updated,team_a_is_tbd,team_b_is_tbd,fixture_has_tbd_team
1,2026-06-11,Group Stage,Group A,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
2,2026-06-12,Group Stage,Group A,South Korea,Winner UEFA Playoff D,Estadio Akron,Guadalajara,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
3,2026-06-12,Group Stage,Group B,Canada,Winner UEFA Playoff A,BMO Field,Toronto,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
4,2026-06-13,Group Stage,Group D,United States,Paraguay,SoFi Stadium,Los Angeles,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
5,2026-06-13,Group Stage,Group B,Qatar,Switzerland,Levi's Stadium,San Francisco Bay Area,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
6,2026-06-13,Group Stage,Group C,Brazil,Morocco,MetLife Stadium,New York/New Jersey,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
7,2026-06-14,Group Stage,Group C,Haiti,Scotland,Gillette Stadium,Boston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
8,2026-06-14,Group Stage,Group D,Australia,Winner UEFA Playoff C,BC Place,Vancouver,Canada,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
9,2026-06-14,Group Stage,Group E,Germany,Curaçao,NRG Stadium,Houston,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
10,2026-06-14,Group Stage,Group F,Netherlands,Japan,AT&T Stadium,Dallas,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
11,2026-06-14,Group Stage,Group E,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
12,2026-06-15,Group Stage,Group F,Winner UEFA Playoff B,Tunisia,Estadio BBVA,Monterrey,Mexico,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
13,2026-06-15,Group Stage,Group H,Spain,Cabo Verde,Mercedes-Benz Stadium,Atlanta,USA,scheduled,kaggle_world_cup_2026_schedule,2026-07-05T21:50:39+00:00,False,False,False
