raw_team_name,standard_team_name,source
USA,United States,built_in_default
U.S.A.,United States,built_in_default
United States of America,United States,built_in_default
USMNT,United States,built_in_default
Korea Republic,South Korea,built_in_default
Republic of Korea,South Korea,built_in_default
South Korea,South Korea,built_in_default
IR Iran,Iran,built_in_default
Iran (Islamic Republic of),Iran,built_in_default
Cote d'Ivoire,Ivory Coast,built_in_default
Côte d'Ivoire,Ivory Coast,built_in_default
CÃ´te d'Ivoire,Ivory Coast,built_in_default
Ivory Coast,Ivory Coast,built_in_default
Czechia,Czech Republic,built_in_default
Czech Republic,Czech Republic,built_in_default
Türkiye,Turkey,built_in_default
TÃ¼rkiye,Turkey,built_in_default
Turkiye,Turkey,built_in_default
England,England,built_in_default
Wales,Wales,built_in_default
Scotland,Scotland,built_in_default
Northern Ireland,Northern Ireland,built_in_default
