team,fifa_rank,fifa_points,elo_rank,elo_rating,rating_date,source,last_updated
Argentina,1,1876.118331,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Spain,2,1873.013187,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
France,3,1869.428449,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
England,4,1827.048678,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Portugal,5,1766.177547,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Brazil,6,1765.856297,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Morocco,7,1755.100232,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Netherlands,8,1751.097835,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Belgium,9,1742.235945,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Germany,10,1735.771984,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Croatia,11,1714.865572,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Italy,12,1704.733836,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Colombia,13,1698.351858,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Mexico,14,1687.481759,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Senegal,15,1686.412769,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Uruguay,16,1673.068603,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
United States,17,1671.2341,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Japan,18,1661.576187,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Switzerland,19,1650.064179,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Iran,20,1619.58163,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Denmark,21,1619.474248,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Turkey,22,1605.730921,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Ecuador,23,1598.51582,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Austria,24,1597.404087,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
South Korea,25,1591.630886,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Nigeria,26,1586.688586,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Australia,27,1579.34264,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Algeria,28,1571.033293,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Egypt,29,1562.367246,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Canada,30,1559.479301,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Norway,31,1557.437664,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Ukraine,32,1549.287173,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Ivory Coast,33,1540.869533,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Panama,34,1539.155509,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Russia,35,1527.237131,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Poland,36,1526.183359,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Wales,37,1516.946629,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Sweden,38,1509.785392,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Czech Republic,39,1505.737856,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Paraguay,40,1505.349689,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Hungary,41,1504.135797,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Scotland,42,1503.34027,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Serbia,43,1502.133186,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cameroon,44,1481.235245,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Congo DR,45,1479.684122,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Tunisia,46,1476.405088,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Slovakia,47,1473.660727,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Greece,48,1473.187305,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Venezuela,49,1464.303811,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Uzbekistan,50,1461.208132,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Peru,51,1459.390555,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Costa Rica,52,1457.00228,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Romania,53,1455.894657,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Mali,54,1455.586659,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Chile,55,1452.939983,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Iraq,56,1451.153466,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Qatar,57,1450.307729,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Republic of Ireland,58,1441.096901,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Slovenia,59,1441.087158,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
South Africa,60,1428.379282,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Saudi Arabia,61,1421.538339,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Burkina Faso,62,1408.541965,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Jordan,63,1387.738222,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bosnia and Herzegovina,64,1387.215771,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Honduras,65,1378.970301,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Albania,66,1376.033234,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Cabo Verde,67,1371.10798,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
United Arab Emirates,68,1370.469434,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
North Macedonia,69,1369.159317,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Northern Ireland,70,1366.564198,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Jamaica,71,1357.840144,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Georgia,72,1355.261687,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Ghana,73,1346.881205,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Iceland,74,1343.920201,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Finland,75,1341.922408,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Israel,76,1333.904007,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bolivia,77,1325.995377,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Kosovo,78,1319.120924,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Oman,79,1306.901717,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Montenegro,80,1301.977191,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Guinea,81,1295.598845,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Curaçao,82,1294.76909,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Haiti,83,1293.096585,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Syria,84,1283.051902,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
New Zealand,85,1275.581062,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Gabon,86,1272.508139,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Bulgaria,87,1271.683325,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Uganda,88,1264.090591,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Angola,89,1262.219698,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
Benin,90,1258.224853,,,2026-06-08,kaggle_fifa_ranking,2026-07-05T21:49:23+00:00
