year,team_raw,jersey,name,position,position_group,born,age_at_tournament,club_name,club_country,caps_at_start,national_goals_at_start
1930,Argentina,,Ángel Bossio,GK,GK,1905-05-05,25.0,Talleres (RE),Argentina,,
1930,Argentina,,Juan Botasso,GK,GK,1908-10-23,21.0,Argentino de Quilmes,Argentina,,
1930,Argentina,,Roberto Cherro,FW,FW,1907-02-23,23.0,Boca Juniors,Argentina,,
1930,Argentina,,Alberto Chividini,DF,DF,1907-02-23,23.0,Central Norte,Argentina,,
1930,Argentina,,Attilio Demaría,FW,FW,1909-03-19,21.0,Estudiantil Porteño,Argentina,,
1930,Argentina,,José Della Torre,DF,DF,1906-03-23,24.0,Racing,Argentina,,
1930,Argentina,,Juan Evaristo,MF,MF,1902-06-20,28.0,Sportivo Palermo,Argentina,,
1930,Argentina,,Mario Evaristo,FW,FW,1908-12-10,21.0,Boca Juniors,Argentina,,
1930,Argentina,,Manuel Ferreira,FW,FW,1905-10-22,24.0,Estudiantes de La Plata,Argentina,,
1930,Argentina,,Luis Monti,MF,MF,1901-05-15,29.0,San Lorenzo,Argentina,,
1930,Argentina,,Ramón Muttis,DF,DF,1899-03-12,31.0,Boca Juniors,Argentina,,
1930,Argentina,,Rodolfo Orlandini,MF,MF,1905-01-01,25.0,Sportivo Buenos Aires,Argentina,,
1930,Argentina,,Fernando Paternoster,DF,DF,1903-05-24,27.0,Racing,Argentina,,
1930,Argentina,,Natalio Perinetti,FW,FW,1900-12-28,29.0,Racing,Argentina,,
1930,Argentina,,Carlos Peucelle,FW,FW,1908-09-13,21.0,Sportivo Buenos Aires,Argentina,,
1930,Argentina,,Edmundo Piaggio,DF,DF,1905-10-03,24.0,Lanús,Argentina,,
1930,Argentina,,Alejandro Scopelli,FW,FW,1908-05-12,22.0,Estudiantes de La Plata,Argentina,,
1930,Argentina,,Carlos Spadaro,FW,FW,1902-02-05,28.0,Lanús,Argentina,,
1930,Argentina,,Guillermo Stábile,FW,FW,1905-01-17,25.0,Huracán,Argentina,,
1930,Argentina,,Arico Suárez,MF,MF,1908-06-05,22.0,Boca Juniors,Argentina,,
1930,Argentina,,Francisco Varallo,FW,FW,1910-02-05,20.0,Gimnasia y Esgrima La Plata,Argentina,,
1930,Argentina,,Adolfo Zumelzú,MF,MF,1902-01-05,28.0,Sportivo Palermo,Argentina,,
1930,Belgium,,Ferdinand Adams,FW,FW,1903-05-03,27.0,Anderlecht,Belgium,,
1930,Belgium,,Arnold Badjou,GK,GK,1909-06-25,21.0,Daring Club,Belgium,,
1930,Belgium,,Pierre Braine,MF,MF,1900-10-26,29.0,Beerschot,Belgium,,
1930,Belgium,,Alexis Chantraine,MF,MF,1901-03-16,29.0,RFC Liège,Belgium,,
1930,Belgium,,Jean De Bie,GK,GK,1892-05-09,38.0,Racing Bruxelles,Belgium,,
1930,Belgium,,Jean De Clercq,MF,MF,1905-05-17,25.0,Antwerp,Belgium,,
1930,Belgium,,Henri De Deken,DF,DF,1907-08-03,22.0,Antwerp,Belgium,,
1930,Belgium,,Gérard Delbeke,MF,MF,1898-08-01,31.0,FC Brugeois,Belgium,,
1930,Belgium,,Jan Diddens,FW,FW,1906-09-14,23.0,RC de Malines,Belgium,,
1930,Belgium,,August Hellemans,MF,MF,1907-06-21,23.0,RFC Malinois,Belgium,,
1930,Belgium,,Nicolas Hoydonckx,DF,DF,1900-12-29,29.0,FC Excelsior Hasselt,Belgium,,
1930,Belgium,,Jacques Moeschal,FW,FW,1900-09-06,29.0,Racing Bruxelles,Belgium,,
1930,Belgium,,Théodore Nouwens,DF,DF,1908-02-17,22.0,RC de Malines,Belgium,,
1930,Belgium,,André Saeys,FW,FW,1911-02-20,19.0,CS Brugeois,Belgium,,
1930,Belgium,,Louis Versyp,FW,FW,1908-12-05,21.0,FC Brugeois,Belgium,,
1930,Belgium,,Bernard Voorhoof,FW,FW,1910-05-10,20.0,Lierse,Belgium,,
1930,Bolivia,,Mario Alborta,FW,FW,1910-09-19,19.0,Club Bolívar,Bolivia,,
1930,Bolivia,,Juan Argote,MF,MF,1907-01-06,23.0,Oruro Royal,Bolivia,,
1930,Bolivia,,Jesús Bermúdez,GK,GK,1902-01-24,28.0,Oruro Royal,Bolivia,,
1930,Bolivia,,Miguel Brito,MF,MF,1901-06-13,29.0,Oruro Royal,Bolivia,,
1930,Bolivia,,José Bustamante,FW,FW,,,Club Litoral,Bolivia,,
1930,Bolivia,,Casiano Chavarría,DF,DF,1901-08-03,28.0,Calavera La Paz,Bolivia,,
1930,Bolivia,,Segundo Durandal,DF,DF,1912-03-17,18.0,Club San José,Bolivia,,
1930,Bolivia,,René Fernández,FW,FW,1906-01-01,24.0,Alianza Oruro,Bolivia,,
1930,Bolivia,,Gumercindo Gómez,FW,FW,1907-01-21,23.0,Oruro Royal,Bolivia,,
1930,Bolivia,,Diógenes Lara,MF,MF,1903-04-06,27.0,Club Bolívar,Bolivia,,
1930,Bolivia,,Rafael Méndez,FW,FW,,,Universitario de La Paz,Bolivia,,
1930,Bolivia,,Miguel Murillo,GK,GK,1898-03-24,32.0,Club Bolívar,Bolivia,,
1930,Bolivia,,Constantino Noya,MF,MF,,,Oruro Royal,Bolivia,,
1930,Bolivia,,Eduardo Reyes Ortiz,FW,FW,1907-01-01,23.0,The Strongest,Bolivia,,
1930,Bolivia,,Luis Reyes,DF,DF,1911-06-05,19.0,Universitario de La Paz,Bolivia,,
1930,Bolivia,,Renato Sáinz,MF,MF,1899-12-14,30.0,The Strongest,Bolivia,,
1930,Bolivia,,Jorge Valderrama,MF,MF,1906-12-12,23.0,Oruro Royal,Bolivia,,
1930,Brazil,,Araken,FW,FW,1905-07-17,24.0,Flamengo,Brazil,,
1930,Brazil,,Benedicto,FW,FW,1906-10-30,23.0,Botafogo,Brazil,,
1930,Brazil,,Brilhante,DF,DF,1904-11-05,25.0,Vasco da Gama,Brazil,,
1930,Brazil,,Carvalho Leite,FW,FW,1912-06-25,18.0,Botafogo,Brazil,,
1930,Brazil,,Fausto,DF,DF,1905-01-28,25.0,Vasco da Gama,Brazil,,
1930,Brazil,,Fernando,MF,MF,1906-03-01,24.0,Fluminense,Brazil,,
1930,Brazil,,Fortes,MF,MF,1901-09-09,28.0,Fluminense,Brazil,,
1930,Brazil,,Hermógenes,DF,DF,1908-11-04,21.0,America-RJ,Brazil,,
1930,Brazil,,Itália,DF,DF,1907-05-22,23.0,Vasco da Gama,Brazil,,
1930,Brazil,,Ivan Mariz,MF,MF,1910-01-16,20.0,Fluminense,Brazil,,
1930,Brazil,,Joel,GK,GK,1904-05-01,26.0,America-RJ,Brazil,,
1930,Brazil,,Manoelzinho,FW,FW,1907-08-22,22.0,Ypiranga-RJ,Brazil,,
1930,Brazil,,Moderato,FW,FW,1902-07-14,27.0,Flamengo,Brazil,,
1930,Brazil,,Nilo,FW,FW,1903-04-03,27.0,Botafogo,Brazil,,
