group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
STAGE,1,France,773,3,3,0,0,10,2,8,9,"W,W,W",qualified_position,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,2,Argentina,762,3,3,0,0,8,1,7,9,"W,W,W",qualified_position,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,3,Mexico,769,3,3,0,0,6,0,6,9,"W,W,W",still_possible,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,4,Netherlands,8601,3,2,1,0,10,4,6,7,"W,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,5,Brazil,764,3,2,1,0,7,1,6,7,"W,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,6,Spain,760,3,2,1,0,5,0,5,7,"W,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,7,Switzerland,788,3,2,1,0,7,3,4,7,"W,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,8,England,770,3,2,1,0,6,2,4,7,"W,D,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,9,Morocco,815,3,2,1,0,6,3,3,7,"W,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,10,Colombia,818,3,2,1,0,4,1,3,7,"D,W,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,11,Germany,759,2,2,0,0,9,2,7,6,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,12,Germany,759,3,2,0,1,10,4,6,6,"L,W,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,13,France,773,2,2,0,0,6,1,5,6,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,14,United States,771,2,2,0,0,6,1,5,6,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,15,Argentina,762,2,2,0,0,5,0,5,6,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,16,United States,771,3,2,0,1,8,4,4,6,"L,W,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,17,Switzerland,788,2,2,0,0,6,2,4,6,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,18,Mexico,769,2,2,0,0,3,0,3,6,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,19,Ivory Coast,1935,3,2,0,1,4,2,2,6,"W,L,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,20,Norway,8872,3,2,0,1,8,7,1,6,"L,W,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,21,Croatia,799,3,2,0,1,5,5,0,6,"W,W,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,22,Portugal,765,3,1,2,0,6,1,5,5,"D,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,23,Japan,766,3,1,2,0,7,3,4,5,"D,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,24,Belgium,805,3,1,2,0,6,2,4,5,"W,D,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,25,Egypt,825,3,1,2,0,5,3,2,5,"D,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,26,Canada,828,2,1,1,0,7,1,6,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,27,Canada,828,3,1,1,1,8,3,5,4,"L,W,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,28,Portugal,765,2,1,1,0,6,1,5,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,29,Netherlands,8601,2,1,1,0,7,3,4,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,30,Japan,766,2,1,1,0,6,2,4,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,31,Spain,760,2,1,1,0,4,0,4,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,32,Brazil,764,2,1,1,0,4,1,3,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,33,Egypt,825,2,1,1,0,4,2,2,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,34,England,770,2,1,1,0,4,2,2,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,35,Congo DR,1934,3,1,1,1,4,3,1,4,"W,L,D",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,36,Ecuador,791,2,1,1,0,2,1,1,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,37,Morocco,815,2,1,1,0,2,1,1,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,38,Colombia,818,2,1,1,0,1,0,1,4,,unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,39,Sweden,792,3,1,1,1,7,7,0,4,"D,L,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,40,Austria,816,3,1,1,1,6,6,0,4,"D,L,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,41,Australia,779,3,1,1,1,2,2,0,4,"D,L,W",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
STAGE,42,Ecuador,791,3,1,1,1,2,2,0,4,"W,D,L",unknown,football_data_org,football_data_org,2026-07-10T06:51:00+00:00
