run_id,timestamp,phase,simulation_count,provider,forecast_mode,team,reach_final_probability
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,0.5293
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,0.4892
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Spain,0.3747
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,0.3189
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Switzerland,0.0982
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,0.096
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Norway,0.0937
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,0.5293
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,0.4892
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Spain,0.3747
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,0.3189
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Switzerland,0.0982
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,0.096
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Norway,0.0937
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Spain,0.5627
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,0.474
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,0.4373
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,0.3202
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Norway,0.1032
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Switzerland,0.1026
2026-07-14T210550Z-f6872a12,2026-07-14T21:07:08+00:00,semifinal,10000,football_data_org,true_live_forecast,Spain,1.0
2026-07-14T210550Z-f6872a12,2026-07-14T21:07:08+00:00,semifinal,10000,football_data_org,true_live_forecast,Argentina,0.6081
2026-07-14T210550Z-f6872a12,2026-07-14T21:07:08+00:00,semifinal,10000,football_data_org,true_live_forecast,England,0.3919
2026-07-14T235611Z-10c659fc,2026-07-14T23:57:46+00:00,semifinal,10000,football_data_org,true_live_forecast,Spain,1.0
2026-07-14T235611Z-10c659fc,2026-07-14T23:57:46+00:00,semifinal,10000,football_data_org,true_live_forecast,Argentina,0.6081
2026-07-14T235611Z-10c659fc,2026-07-14T23:57:46+00:00,semifinal,10000,football_data_org,true_live_forecast,England,0.3919
