group,rank,team,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form,qualification_status,source,provider,last_updated
GROUP_STAGE,1,France,773,3,3,0,0,10,2,8,9,"W,W,W",1,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,2,Argentina,762,3,3,0,0,8,1,7,9,"W,W,W",2,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,3,Mexico,769,3,3,0,0,6,0,6,9,"W,W,W",3,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,4,Netherlands,8601,3,2,1,0,10,4,6,7,"W,W,D",4,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,5,Brazil,764,3,2,1,0,7,1,6,7,"W,W,D",5,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,6,Spain,760,3,2,1,0,5,0,5,7,"W,W,D",6,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,7,Switzerland,788,3,2,1,0,7,3,4,7,"W,W,D",7,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,8,England,770,3,2,1,0,6,2,4,7,"W,D,W",8,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,9,Morocco,815,3,2,1,0,6,3,3,7,"W,W,D",9,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,10,Colombia,818,3,2,1,0,4,1,3,7,"D,W,W",10,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,11,Germany,759,3,2,0,1,10,4,6,6,"L,W,W",11,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,12,United States,771,3,2,0,1,8,4,4,6,"L,W,W",12,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,13,Ivory Coast,1935,3,2,0,1,4,2,2,6,"W,L,W",13,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,14,Norway,8872,3,2,0,1,8,7,1,6,"L,W,W",14,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,15,Croatia,799,3,2,0,1,5,5,0,6,"W,W,L",15,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,16,Portugal,765,3,1,2,0,6,1,5,5,"D,W,D",16,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,17,Japan,766,3,1,2,0,7,3,4,5,"D,W,D",17,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,18,Belgium,805,3,1,2,0,6,2,4,5,"W,D,D",18,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,19,Egypt,825,3,1,2,0,5,3,2,5,"D,W,D",19,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,20,Canada,828,3,1,1,1,8,3,5,4,"L,W,D",20,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,21,Congo DR,1934,3,1,1,1,4,3,1,4,"W,L,D",21,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,22,Sweden,792,3,1,1,1,7,7,0,4,"D,L,W",22,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,23,Austria,816,3,1,1,1,6,6,0,4,"D,L,W",23,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,24,Australia,779,3,1,1,1,2,2,0,4,"D,L,W",24,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,25,Ecuador,791,3,1,1,1,2,2,0,4,"W,D,L",25,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
GROUP_STAGE,26,Ghana,763,3,1,1,1,2,2,0,4,"L,D,W",26,football_data_org,football_data_org,2026-07-20T06:04:10+00:00
