team_id,team,short_name,tla,crest,country,source,provider,last_updated
758,Uruguay,Uruguay,URU,https://crests.football-data.org/758.svg,Uruguay,football_data_org,football_data_org,2026-06-16T00:37:18Z
759,Germany,Germany,GER,https://crests.football-data.org/759.svg,Germany,football_data_org,football_data_org,2026-06-01T09:41:12Z
760,Spain,Spain,ESP,https://crests.football-data.org/760.svg,Spain,football_data_org,football_data_org,2026-06-01T09:41:19Z
761,Paraguay,Paraguay,PAR,https://crests.football-data.org/761.svg,Paraguay,football_data_org,football_data_org,2021-05-22T11:35:25Z
762,Argentina,Argentina,ARG,https://crests.football-data.org/762.png,Argentina,football_data_org,football_data_org,2022-05-17T21:09:25Z
763,Ghana,Ghana,GHA,https://crests.football-data.org/ghana.svg,Ghana,football_data_org,football_data_org,2026-06-01T09:41:44Z
764,Brazil,Brazil,BRA,https://crests.football-data.org/764.svg,Brazil,football_data_org,football_data_org,2021-05-22T11:31:45Z
765,Portugal,Portugal,POR,https://crests.football-data.org/765.svg,Portugal,football_data_org,football_data_org,2026-06-01T09:41:53Z
766,Japan,Japan,JPN,https://crests.football-data.org/766.svg,Japan,football_data_org,football_data_org,2026-06-01T09:40:05Z
769,Mexico,Mexico,MEX,https://crests.football-data.org/769.svg,Mexico,football_data_org,football_data_org,2026-06-01T09:41:59Z
770,England,England,ENG,https://crests.football-data.org/770.svg,England,football_data_org,football_data_org,2026-06-01T09:42:05Z
771,United States,USA,USA,https://crests.football-data.org/usa.svg,United States,football_data_org,football_data_org,2026-06-01T09:42:10Z
772,South Korea,Korea Republic,KOR,https://crests.football-data.org/772.png,South Korea,football_data_org,football_data_org,2022-04-02T10:45:25Z
773,France,France,FRA,https://crests.football-data.org/773.svg,France,football_data_org,football_data_org,2026-06-01T09:42:18Z
774,South Africa,South Africa,RSA,https://crests.football-data.org/9396.svg,South Africa,football_data_org,football_data_org,2026-04-17T11:05:09Z
778,Algeria,Algeria,ALG,https://crests.football-data.org/algeria.svg,Algeria,football_data_org,football_data_org,2026-04-17T11:43:21Z
779,Australia,Australia,AUS,https://crests.football-data.org/779.svg,Australia,football_data_org,football_data_org,2021-05-22T11:30:43Z
783,New Zealand,New Zealand,NZL,https://crests.football-data.org/783.svg,New Zealand,football_data_org,football_data_org,2026-04-17T11:43:48Z
