simulation_id,stage,team_a,team_b,winner,loser,result_label,probability_source
1,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
1,Quarterfinal,Spain,Belgium,Belgium,Spain,team_a_loss,live_model_exact
1,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
1,Quarterfinal,Argentina,Switzerland,Switzerland,Argentina,team_a_loss,live_model_exact
1,Semifinal,France,Belgium,Belgium,France,team_a_loss,elo_fallback
1,Semifinal,England,Switzerland,England,Switzerland,team_a_win,elo_fallback
1,Final,Belgium,England,England,Belgium,team_a_loss,elo_fallback
2,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
2,Quarterfinal,Spain,Belgium,Belgium,Spain,team_a_loss,live_model_exact
2,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
2,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
2,Semifinal,France,Belgium,France,Belgium,team_a_win,elo_fallback
2,Semifinal,England,Argentina,England,Argentina,team_a_win,elo_fallback
2,Final,France,England,England,France,team_a_loss,elo_fallback
3,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
3,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
3,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
3,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
3,Semifinal,France,Spain,France,Spain,team_a_win,elo_fallback
3,Semifinal,England,Argentina,Argentina,England,team_a_loss,elo_fallback
3,Final,France,Argentina,France,Argentina,team_a_win,elo_fallback
4,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
4,Quarterfinal,Spain,Belgium,Belgium,Spain,team_a_loss,live_model_exact
4,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
4,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
4,Semifinal,France,Belgium,France,Belgium,team_a_win,elo_fallback
4,Semifinal,England,Argentina,Argentina,England,team_a_loss,elo_fallback
4,Final,France,Argentina,Argentina,France,team_a_loss,elo_fallback
5,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
5,Quarterfinal,Spain,Belgium,Belgium,Spain,team_a_loss,live_model_exact
5,Quarterfinal,Norway,England,Norway,England,team_a_win,live_model_exact
5,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
5,Semifinal,France,Belgium,France,Belgium,team_a_win,elo_fallback
5,Semifinal,Norway,Argentina,Norway,Argentina,team_a_win,elo_fallback
5,Final,France,Norway,France,Norway,team_a_win,model_reversed
6,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
6,Quarterfinal,Spain,Belgium,Belgium,Spain,team_a_loss,live_model_exact
6,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
6,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
6,Semifinal,France,Belgium,France,Belgium,team_a_win,elo_fallback
6,Semifinal,England,Argentina,Argentina,England,team_a_loss,elo_fallback
6,Final,France,Argentina,France,Argentina,team_a_win,elo_fallback
7,Quarterfinal,France,Morocco,France,Morocco,completed_result,completed_result
7,Quarterfinal,Spain,Belgium,Spain,Belgium,team_a_win,live_model_exact
7,Quarterfinal,Norway,England,England,Norway,team_a_loss,live_model_exact
7,Quarterfinal,Argentina,Switzerland,Argentina,Switzerland,team_a_win,live_model_exact
7,Semifinal,France,Spain,Spain,France,team_a_loss,elo_fallback
7,Semifinal,England,Argentina,England,Argentina,team_a_win,elo_fallback
