match_id,fixture_id,stage,team_a,team_b,prob_team_a_loss,prob_draw,prob_team_a_win,prob_team_a_advance,prob_team_b_advance,probability_source,is_completed,is_simulated,last_updated
football_data_org_537327,537327,Group Stage,Mexico,South Africa,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537328,537328,Group Stage,South Korea,Czechia,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537333,537333,Group Stage,Canada,Bosnia-Herzegovina,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537345,537345,Group Stage,United States,Paraguay,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537334,537334,Group Stage,Qatar,Switzerland,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537339,537339,Group Stage,Brazil,Morocco,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537340,537340,Group Stage,Haiti,Scotland,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537346,537346,Group Stage,Australia,Turkey,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537351,537351,Group Stage,Germany,Curaçao,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537357,537357,Group Stage,Netherlands,Japan,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537352,537352,Group Stage,Ivory Coast,Ecuador,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537358,537358,Group Stage,Sweden,Tunisia,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537369,537369,Group Stage,Spain,Cape Verde Islands,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537363,537363,Group Stage,Belgium,Egypt,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537370,537370,Group Stage,Saudi Arabia,Uruguay,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537364,537364,Group Stage,Iran,New Zealand,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537391,537391,Group Stage,France,Senegal,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537392,537392,Group Stage,Iraq,Norway,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537397,537397,Group Stage,Argentina,Algeria,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537398,537398,Group Stage,Austria,Jordan,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537403,537403,Group Stage,Portugal,Congo DR,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537409,537409,Group Stage,England,Croatia,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537410,537410,Group Stage,Ghana,Panama,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537404,537404,Group Stage,Uzbekistan,Colombia,1.0,0.0,0.0,0.0,1.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537329,537329,Group Stage,Czechia,South Africa,0.0,1.0,0.0,0.5,0.5,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537335,537335,Group Stage,Switzerland,Bosnia-Herzegovina,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537336,537336,Group Stage,Canada,Qatar,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537330,537330,Group Stage,Mexico,South Korea,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
football_data_org_537348,537348,Group Stage,United States,Australia,0.0,0.0,1.0,1.0,0.0,completed_result,True,False,2026-07-16T00:14:47+00:00
