year,players,position_pct,age_pct,caps_pct,national_goals_pct
1930,241,100.0,94.2,0.0,0.0
1934,342,100.0,94.2,0.0,0.0
1938,318,100.0,95.6,0.0,0.0
1950,278,100.0,95.7,0.0,0.0
1954,350,100.0,100.0,0.0,0.0
1958,352,100.0,99.4,0.3,0.3
1962,352,100.0,100.0,0.0,0.0
1966,352,100.0,100.0,0.0,0.0
1970,349,100.0,100.0,0.0,0.0
1974,352,100.0,99.7,0.9,0.9
1978,352,100.0,99.7,0.0,0.0
1982,526,100.0,100.0,0.0,0.0
1986,528,100.0,100.0,0.2,0.2
1990,530,100.0,100.0,0.0,0.0
1994,528,100.0,100.0,0.0,0.0
1998,705,100.0,100.0,0.1,0.1
2002,736,100.0,100.0,0.1,0.1
2006,736,100.0,100.0,0.0,0.0
2010,736,100.0,100.0,0.0,0.0
2014,736,100.0,100.0,0.3,0.3
2018,736,100.0,100.0,0.1,0.1
2022,831,100.0,100.0,0.2,0.2
2026,1254,100.0,100.0,0.0,0.0
