feature,rows,nonzero_rows,nonzero_pct
z_prior_wc_appearances_diff,49589,10941,22.063
z_prior_wc_titles_diff,49589,3268,6.59
z_prior_wc_finals_diff,49589,4964,10.01
z_prior_wc_semifinals_diff,49589,7467,15.058
z_prior_wc_knockout_win_rate_diff,49589,9357,18.869
z_prior_wc_goal_difference_diff,49589,11777,23.749
z_prior_wc_best_finish_diff,49589,11874,23.945
z_years_since_last_wc_diff,49589,8725,17.595
z_prior_wc_experience_score_diff,49589,11928,24.054
z_squad_avg_age_diff,49589,1038,2.093
z_squad_age_std_diff,49589,1046,2.109
z_squad_defender_share_diff,49589,722,1.456
z_squad_forward_share_diff,49589,803,1.619
z_players_prior_wc_share_diff,49589,890,1.795
z_squad_prior_wc_appearances_total_diff,49589,912,1.839
z_pedigree_available,49589,12799,25.81
z_squad_features_available,49589,948,1.912
