match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1916-08-15-argentina-uruguay-copa-newton,1916-08-15,Argentina,Uruguay,3.0,1.0,Argentina,False,Copa Newton,,Avellaneda,Argentina,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1916-08-15-uruguay-argentina-copa-lipton,1916-08-15,Uruguay,Argentina,1.0,2.0,Argentina,False,Copa Lipton,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1916-10-01-argentina-uruguay-friendly,1916-10-01,Argentina,Uruguay,7.0,2.0,Argentina,False,Friendly,,Avellaneda,Argentina,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1916-10-01-uruguay-argentina-copa-premio-honor-uruguayo,1916-10-01,Uruguay,Argentina,0.0,1.0,Argentina,False,Copa Premio Honor Uruguayo,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1921-05-30-japan-philippines-friendly,1921-05-30,Japan,Philippines,0.0,3.0,Philippines,False,Friendly,,Shanghai,China,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1921-05-30-philippines-japan-far-eastern-championship-games,1921-05-30,Philippines,Japan,3.0,1.0,Philippines,False,Far Eastern Championship Games,,Shanghai,China,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1924-05-25-argentina-uruguay-copa-newton,1924-05-25,Argentina,Uruguay,4.0,0.0,Argentina,False,Copa Newton,,Buenos Aires,Argentina,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1924-05-25-uruguay-argentina-copa-lipton,1924-05-25,Uruguay,Argentina,2.0,0.0,Uruguay,False,Copa Lipton,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1925-05-20-china-japan-friendly,1925-05-20,China,Japan,2.0,0.0,China,False,Friendly,,Manila,Philippines,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1925-05-20-japan-china-far-eastern-championship-games,1925-05-20,Japan,China,0.0,2.0,China,False,Far Eastern Championship Games,,Manila,Philippines,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1929-06-16-argentina-uruguay-friendly,1929-06-16,Argentina,Uruguay,2.0,0.0,Argentina,False,Friendly,,Buenos Aires,Argentina,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1929-06-16-uruguay-argentina-friendly,1929-06-16,Uruguay,Argentina,1.0,1.0,Draw,True,Friendly,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-13-belgium-united-states-fifa-world-cup,1930-07-13,Belgium,United States,0.0,3.0,United States,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-13-united-states-belgium,1930-07-13,United States,Belgium,3.0,0.0,United States,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-14-brazil-yugoslavia-fifa-world-cup,1930-07-14,Brazil,Yugoslavia,1.0,2.0,Yugoslavia,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-14-yugoslavia-brazil,1930-07-14,Yugoslavia,Brazil,2.0,1.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-14-peru-romania-fifa-world-cup,1930-07-14,Peru,Romania,1.0,3.0,Romania,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-14-romania-peru,1930-07-14,Romania,Peru,3.0,1.0,Romania,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-17-bolivia-yugoslavia-fifa-world-cup,1930-07-17,Bolivia,Yugoslavia,0.0,4.0,Yugoslavia,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-17-yugoslavia-bolivia,1930-07-17,Yugoslavia,Bolivia,4.0,0.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-17-paraguay-united-states-fifa-world-cup,1930-07-17,Paraguay,United States,0.0,3.0,United States,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-17-united-states-paraguay,1930-07-17,United States,Paraguay,3.0,0.0,United States,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-20-belgium-paraguay-fifa-world-cup,1930-07-20,Belgium,Paraguay,0.0,1.0,Paraguay,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-20-paraguay-belgium,1930-07-20,Paraguay,Belgium,1.0,0.0,Paraguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-20-bolivia-brazil-fifa-world-cup,1930-07-20,Bolivia,Brazil,0.0,4.0,Brazil,False,FIFA World Cup,,Montevideo,Uruguay,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-20-brazil-bolivia,1930-07-20,Brazil,Bolivia,4.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1934-05-27-argentina-sweden-fifa-world-cup,1934-05-27,Argentina,Sweden,2.0,3.0,Sweden,False,FIFA World Cup,,Bologna,Italy,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1934-05-27-sweden-argentina,1934-05-27,Sweden,Argentina,3.0,2.0,Sweden,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1934-05-27-belgium-germany-fifa-world-cup,1934-05-27,Belgium,Germany,2.0,5.0,Germany,False,FIFA World Cup,,Florence,Italy,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1934-05-27-germany-belgium,1934-05-27,Germany,Belgium,5.0,2.0,Germany,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1934-05-27-brazil-spain-fifa-world-cup,1934-05-27,Brazil,Spain,1.0,3.0,Spain,False,FIFA World Cup,,Genoa,Italy,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1934-05-27-spain-brazil,1934-05-27,Spain,Brazil,3.0,1.0,Spain,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1934-05-27-egypt-hungary-fifa-world-cup,1934-05-27,Egypt,Hungary,2.0,4.0,Hungary,False,FIFA World Cup,,Naples,Italy,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1934-05-27-hungary-egypt,1934-05-27,Hungary,Egypt,4.0,2.0,Hungary,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1934-05-27-netherlands-switzerland-fifa-world-cup,1934-05-27,Netherlands,Switzerland,2.0,3.0,Switzerland,False,FIFA World Cup,,Milan,Italy,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1934-05-27-switzerland-netherlands,1934-05-27,Switzerland,Netherlands,3.0,2.0,Switzerland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1934-06-07-austria-germany-fifa-world-cup,1934-06-07,Austria,Germany,2.0,3.0,Germany,False,FIFA World Cup,,Naples,Italy,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1934-06-07-germany-austria,1934-06-07,Germany,Austria,3.0,2.0,Germany,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1938-06-09-germany-switzerland-fifa-world-cup,1938-06-09,Germany,Switzerland,2.0,4.0,Switzerland,False,FIFA World Cup,,Paris,France,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1938-06-09-switzerland-germany,1938-06-09,Switzerland,Germany,4.0,2.0,Switzerland,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1938-06-12-cuba-sweden-fifa-world-cup,1938-06-12,Cuba,Sweden,0.0,8.0,Sweden,False,FIFA World Cup,,Antibes,France,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
