match_id,date,team_a,team_b,team_a_goals,team_b_goals,winner,is_draw,tournament,stage,city,country,venue,neutral,source,last_updated
1916-08-15-uruguay-argentina-copa-lipton,1916-08-15,Uruguay,Argentina,1.0,2.0,Argentina,False,Copa Lipton,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1916-10-01-uruguay-argentina-copa-premio-honor-uruguayo,1916-10-01,Uruguay,Argentina,0.0,1.0,Argentina,False,Copa Premio Honor Uruguayo,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1921-05-30-philippines-japan-far-eastern-championship-games,1921-05-30,Philippines,Japan,3.0,1.0,Philippines,False,Far Eastern Championship Games,,Shanghai,China,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1924-05-25-uruguay-argentina-copa-lipton,1924-05-25,Uruguay,Argentina,2.0,0.0,Uruguay,False,Copa Lipton,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1925-05-20-japan-china-far-eastern-championship-games,1925-05-20,Japan,China,0.0,2.0,China,False,Far Eastern Championship Games,,Manila,Philippines,,True,kaggle_international_results,2026-07-05T21:50:39+00:00
1929-06-16-uruguay-argentina-friendly,1929-06-16,Uruguay,Argentina,1.0,1.0,Draw,True,Friendly,,Montevideo,Uruguay,,False,kaggle_international_results,2026-07-05T21:50:39+00:00
1930-07-13-united-states-belgium,1930-07-13,United States,Belgium,3.0,0.0,United States,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-13-france-mexico,1930-07-13,France,Mexico,4.0,1.0,France,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-14-yugoslavia-brazil,1930-07-14,Yugoslavia,Brazil,2.0,1.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-14-romania-peru,1930-07-14,Romania,Peru,3.0,1.0,Romania,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-15-argentina-france,1930-07-15,Argentina,France,1.0,0.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-16-chile-mexico,1930-07-16,Chile,Mexico,3.0,0.0,Chile,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-17-yugoslavia-bolivia,1930-07-17,Yugoslavia,Bolivia,4.0,0.0,Yugoslavia,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-17-united-states-paraguay,1930-07-17,United States,Paraguay,3.0,0.0,United States,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-18-uruguay-peru,1930-07-18,Uruguay,Peru,1.0,0.0,Uruguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-19-argentina-mexico,1930-07-19,Argentina,Mexico,6.0,3.0,Argentina,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-19-chile-france,1930-07-19,Chile,France,1.0,0.0,Chile,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-20-paraguay-belgium,1930-07-20,Paraguay,Belgium,1.0,0.0,Paraguay,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
1930-07-20-brazil-bolivia,1930-07-20,Brazil,Bolivia,4.0,0.0,Brazil,False,,,,,,,kaggle_world_cup_historical,2026-07-05T21:50:39+00:00
