model,split,accuracy,macro_f1,weighted_f1,log_loss,brier_score,precision_class_0,precision_class_1,precision_class_2,recall_class_0,recall_class_1,recall_class_2
majority_class_baseline,validation,0.48023662274805057,0.21628822282773238,0.311608577012904,18.7341710140262,1.0395267545038989,0.0,0.0,0.48023662274805057,0.0,0.0,1.0
majority_class_baseline,test,0.47949993278666486,0.21606396510994005,0.31080797024350965,18.76072401164963,1.0410001344266702,0.0,0.0,0.47949993278666486,0.0,0.0,1.0
historical_frequency_baseline,validation,0.48023662274805057,0.21628822282773238,0.311608577012904,1.050505962578338,0.6332819156943428,0.0,0.0,0.48023662274805057,0.0,0.0,1.0
historical_frequency_baseline,test,0.47949993278666486,0.21606396510994005,0.31080797024350965,1.0498262833115266,0.6330452180239423,0.0,0.0,0.47949993278666486,0.0,0.0,1.0
elo_logistic_baseline,validation,0.551492336649637,0.49778199423650404,0.5445541849790336,0.9468907661924197,0.5607637169391071,0.5108225108225108,0.29664723032069973,0.68,0.6108235294117647,0.2337736932797243,0.6710526315789473
elo_logistic_baseline,test,0.5850248689339965,0.5179865500074974,0.5714186799948604,0.8957835094216954,0.5281461356616968,0.5697292863002461,0.2900826446280992,0.6890002637826431,0.640387275242047,0.20610687022900764,0.7322680123352958
logistic_regression,validation,0.5474589943533208,0.51481046615311,0.5538696230820561,0.9324649810803859,0.5523639204952139,0.5392599277978339,0.3072289156626506,0.7012383900928792,0.5623529411764706,0.35152211372774267,0.6340985442329228
logistic_regression,test,0.575211722005646,0.5273421687809329,0.5744848037269664,0.8871731430926179,0.5240698896507087,0.5830357142857143,0.2943305186972256,0.7017791584298221,0.6021207929921623,0.2865531415149736,0.696663863190356
xgboost,validation,0.5824146275880613,0.4301344951518131,0.5055627730322673,0.897823061908177,0.529260769097607,0.5452528837622005,0.3333333333333333,0.601364522417154,0.5783529411764706,0.010338885697874785,0.8636618141097424
xgboost,test,0.6074741228659766,0.4510675043406742,0.5298400600830204,0.8607220399132883,0.5055903524650359,0.5894596988485385,0.45652173913043476,0.6167478091528724,0.6136468418626095,0.012331180270111567,0.887860947574993
