iter,max_depth,learning_rate,n_estimators,min_child_weight,subsample,colsample_bytree,gamma,reg_lambda,reg_alpha,val_log_loss,val_accuracy,val_macro_f1,val_brier
0,3,0.08,500,3,0.8,0.9,0.0,2.0,0.0,0.9022496605465932,0.5836246302769562,0.4447873776524974,0.5315751492723167
1,3,0.05,800,5,0.9,0.9,1.0,2.0,0.0,0.9007220122531571,0.5814735143855875,0.43550942668461196,0.5308201400310372
2,6,0.03,500,3,0.7,0.9,1.0,2.0,0.5,0.9031971686644946,0.5818768486152192,0.44593662876686385,0.5321148058174411
3,6,0.05,500,3,0.7,0.7,0.5,5.0,0.0,0.9101583960418563,0.5751546114546922,0.4486850446220802,0.5357129499793116
4,6,0.08,300,5,0.7,0.9,1.0,1.0,0.0,0.9117539484908517,0.5778435063189029,0.4524115387322312,0.5366614634999314
5,6,0.03,800,5,0.9,0.9,0.0,1.0,0.5,0.910418063653452,0.5782468405485346,0.4479837838550855,0.5358795549212907
6,4,0.02,500,1,0.9,0.9,1.0,2.0,0.5,0.8987383965343299,0.5834901855337457,0.4300912056965576,0.5296661728928717
7,6,0.03,300,10,0.8,0.7,0.5,5.0,0.0,0.8996574193001562,0.5825490723312718,0.4347966486234384,0.5301694430698868
8,4,0.02,800,3,0.7,0.7,0.5,2.0,1.0,0.8986783573693952,0.5849690777090616,0.4405060085742208,0.5295242842993555
9,4,0.02,800,5,0.9,0.7,0.0,5.0,1.0,0.8989556660278681,0.5832212960473245,0.43642015133777123,0.529864088892781
10,4,0.08,800,3,0.9,0.7,0.0,2.0,0.5,0.9147363113694404,0.5730034955633235,0.44787900327731106,0.538069062778945
11,3,0.08,300,10,0.7,0.9,1.0,5.0,0.5,0.8990338319636308,0.583086851304114,0.4385593779001861,0.5299345175848357
12,4,0.05,300,10,0.8,0.8,0.5,2.0,0.0,0.899489463493409,0.5840279645065878,0.438596603651814,0.530046148146585
13,3,0.02,300,3,0.9,0.8,0.5,5.0,0.5,0.8998658398559269,0.5821457381016403,0.42261113211907314,0.5304106596209374
14,3,0.08,500,5,0.8,0.8,0.0,2.0,1.0,0.9012529877839938,0.5837590750201667,0.4466236256528508,0.5310729605531018
15,4,0.05,300,3,0.8,0.9,0.0,1.0,0.5,0.8995232588840133,0.582817961817693,0.4364248650241966,0.530163702157786
16,6,0.08,300,1,0.9,0.7,1.0,1.0,1.0,0.9032313045210529,0.5825490723312718,0.44254945105249255,0.5322022235756381
17,4,0.03,500,1,0.8,0.8,1.0,5.0,0.5,0.8983620305253972,0.5842968539930089,0.43802975696758795,0.5295385945847315
18,4,0.03,500,10,0.7,0.7,0.5,0.5,0.0,0.8993472003011455,0.5833557407905351,0.4357960376051222,0.5299060566920553
19,3,0.08,800,5,0.8,0.9,0.0,5.0,0.5,0.9056584012530032,0.5801290669534821,0.4507875749858557,0.5334156472866299
20,6,0.02,500,5,0.8,0.8,0.0,1.0,0.0,0.9010401563685717,0.5833557407905351,0.4386047173204737,0.5308019215875909
21,4,0.05,500,5,0.8,0.9,0.0,1.0,0.0,0.9030679600081424,0.5834901855337457,0.4437349687602811,0.5319620738824523
22,4,0.08,500,10,0.8,0.9,0.5,1.0,1.0,0.9067024753995379,0.57959128798064,0.44879955523975507,0.5338814244738702
23,6,0.03,800,3,0.9,0.9,0.5,2.0,0.0,0.9097128696951364,0.5785157300349556,0.4481128399823735,0.5353813381622811
24,3,0.02,500,10,0.7,0.8,1.0,0.5,1.0,0.8980414965221605,0.5821457381016403,0.4254139040716758,0.52937452974245
25,4,0.08,500,5,0.7,0.8,1.0,0.5,1.0,0.9083024900884686,0.581607959128798,0.45051876280236886,0.5347050966546275
26,4,0.05,500,3,0.7,0.8,0.0,2.0,0.0,0.903205070863539,0.5842968539930089,0.4476926190438674,0.5318308490792567
27,5,0.05,300,10,0.8,0.9,0.0,0.5,0.5,0.9015681099809607,0.5844312987362195,0.4452738189941958,0.5312816197347457
28,3,0.03,500,1,0.9,0.7,0.0,2.0,1.0,0.8978465074339191,0.5826835170744824,0.43025049274333876,0.5292861886094726
29,3,0.03,800,10,0.8,0.8,0.5,2.0,0.5,0.8985799451614627,0.5845657434794299,0.4380085584089781,0.5296056874201222
