segment,support,accuracy,macro_f1,log_loss,draw_rate_actual
decade_2010s,1320,0.6083333333333333,0.4499922474182741,0.8358893083236202,0.21818181818181817
decade_2020s,6119,0.6072887726752737,0.45128290434527124,0.8660789945951585,0.23124693577381925
tournament_world_cup,1922,0.6462018730489074,0.488232199832751,0.7921898444085304,0.2206035379812695
tournament_not_world_cup,5517,0.5939822367228567,0.4368382914708131,0.8845971314050675,0.23182889251404748
tournament_friendly,1904,0.585609243697479,0.4217945933529654,0.9040715127889694,0.25315126050420167
tournament_not_friendly,5535,0.6149954832881662,0.45697926924599114,0.8458101345193775,0.22059620596205962
tournament_qualifier,2963,0.6530543368207897,0.48884625170227025,0.7854392217368277,0.21093486331420858
tournament_not_qualifier,4476,0.5773011617515639,0.42319736755849674,0.9105573817937294,0.24084003574620197
competitive,5535,0.6149954832881662,0.45697926924599114,0.8458101345193775,0.22059620596205962
neutral_venue,2432,0.5810032894736842,0.4393755254988121,0.9009596583349193,0.24588815789473684
non_neutral_venue,5007,0.6203315358498103,0.4530894092660868,0.8411778242149847,0.2206910325544238
abs_elo_diff_0-50,1485,0.44646464646464645,0.27980456941287113,1.0586912403553452,0.28215488215488216
abs_elo_diff_50-100,1299,0.47113163972286376,0.3353135020408409,1.0425119269485223,0.2879137798306389
abs_elo_diff_100-200,2176,0.5923713235294118,0.4516742707396196,0.9175087871807653,0.24816176470588236
abs_elo_diff_200-300,1322,0.7170953101361573,0.5188599289027849,0.7390062886295636,0.1928895612708018
abs_elo_diff_300-inf,1157,0.8703543647363872,0.6094549927501872,0.43480236422429214,0.09939498703543648
