feature,importance
elo_expected_score_team_a,0.3102509
elo_difference,0.22587141
is_qualifier,0.05500789
is_neutral,0.04593908
h2h_goal_diff_team_a_last_10,0.045144234
goals_against_avg_last_5_diff,0.038387377
goal_diff_avg_last_5_diff,0.029796012
is_friendly,0.020306706
h2h_team_a_win_rate_last_10,0.01943691
team_b_pre_match_elo,0.019392055
tournament_importance_score,0.018310817
h2h_matches_last_10,0.01609819
team_b_days_since_last_match,0.014662176
team_a_pre_match_elo,0.014031571
is_world_cup_match,0.013626091
rest_days_diff,0.013315729
team_a_days_since_last_match,0.013311721
team_b_matches_last_30_days,0.012618115
team_a_matches_last_30_days,0.011189665
form_points_last_5_diff,0.011078085
loss_rate_last_5_diff,0.01087367
match_congestion_diff,0.010686002
clean_sheet_rate_last_5_diff,0.010235166
win_rate_last_5_diff,0.010235147
goals_for_avg_last_5_diff,0.01019528
