raw_team_name,source_column
Argentina,team_a
Croatia,team_a
France,team_a
Morocco,team_a
Netherlands,team_a
Portugal,team_a
Japan,team_a
Brazil,team_a
Ghana,team_a
Cameroon,team_a
Serbia,team_a
Canada,team_a
Costa Rica,team_a
Australia,team_a
Tunisia,team_a
Saudi Arabia,team_a
Poland,team_a
Ecuador,team_a
Iran,team_a
Belgium,team_a
Spain,team_a
Qatar,team_a
Switzerland,team_a
Uruguay,team_a
Germany,team_a
Denmark,team_a
Mexico,team_a
Senegal,team_a
United States,team_a
Sweden,team_a
Russia,team_a
Colombia,team_a
Panama,team_a
Iceland,team_a
Nigeria,team_a
Peru,team_a
Egypt,team_a
Algeria,team_a
Bosnia and Herzegovina,team_a
Honduras,team_a
Italy,team_a
Greece,team_a
Chile,team_a
Paraguay,team_a
Korea DPR,team_a
Slovakia,team_a
Slovenia,team_a
South Africa,team_a
New Zealand,team_a
Ukraine,team_a
Togo,team_a
Serbia and Montenegro,team_a
Angola,team_a
Trinidad and Tobago,team_a
Turkey,team_a
China PR,team_a
Republic of Ireland,team_a
Romania,team_a
FR Yugoslavia,team_a
Jamaica,team_a
Bulgaria,team_a
Bolivia,team_a
Norway,team_a
West Germany,team_a
Yugoslavia,team_a
Czechoslovakia,team_a
Austria,team_a
United Arab Emirates,team_a
Soviet Union,team_a
Iraq,team_a
Hungary,team_a
Germany DR,team_a
Zaire,team_a
Haiti,team_a
Cuba,team_a
France,team_b
Morocco,team_b
Croatia,team_b
Portugal,team_b
Brazil,team_b
Argentina,team_b
Spain,team_b
Switzerland,team_b
Poland,team_b
Senegal,team_b
United States,team_b
Australia,team_b
Uruguay,team_b
Belgium,team_b
Germany,team_b
Denmark,team_b
Mexico,team_b
Qatar,team_b
Serbia,team_b
Ghana,team_b
Costa Rica,team_b
Canada,team_b
Saudi Arabia,team_b
Iran,team_b
Ecuador,team_b
Cameroon,team_b
Japan,team_b
Tunisia,team_b
Netherlands,team_b
Russia,team_b
Colombia,team_b
Sweden,team_b
Peru,team_b
Egypt,team_b
Panama,team_b
Iceland,team_b
Nigeria,team_b
Algeria,team_b
Greece,team_b
Chile,team_b
Bosnia and Herzegovina,team_b
Honduras,team_b
Italy,team_b
Slovakia,team_b
New Zealand,team_b
South Africa,team_b
Korea DPR,team_b
Paraguay,team_b
Slovenia,team_b
Ukraine,team_b
Angola,team_b
Serbia and Montenegro,team_b
Trinidad and Tobago,team_b
Togo,team_b
Turkey,team_b
Republic of Ireland,team_b
China PR,team_b
FR Yugoslavia,team_b
Norway,team_b
Jamaica,team_b
Bulgaria,team_b
Austria,team_b
Romania,team_b
Bolivia,team_b
Czechoslovakia,team_b
Yugoslavia,team_b
United Arab Emirates,team_b
Soviet Union,team_b
West Germany,team_b
Iraq,team_b
Hungary,team_b
Kuwait,team_b
El Salvador,team_b
Germany DR,team_b
Haiti,team_b
Zaire,team_b
Israel,team_b
Cuba,team_b
Dutch East Indies,team_b
