team,champion_count,champion_prob
Algeria,54,0.0054
Argentina,1188,0.1188
Australia,68,0.0068
Austria,93,0.0093
Belgium,473,0.0473
Brazil,708,0.0708
Cabo Verde,3,0.0003
Canada,62,0.0062
Colombia,191,0.0191
Croatia,272,0.0272
Curaçao,1,0.0001
Ecuador,93,0.0093
Egypt,70,0.007
England,832,0.0832
France,1110,0.111
Germany,384,0.0384
Ghana,4,0.0004
Haiti,4,0.0004
Iran,145,0.0145
Ivory Coast,68,0.0068
Japan,173,0.0173
Jordan,1,0.0001
Mexico,282,0.0282
Morocco,545,0.0545
Netherlands,461,0.0461
New Zealand,1,0.0001
Norway,45,0.0045
Panama,38,0.0038
Paraguay,31,0.0031
Portugal,454,0.0454
Qatar,21,0.0021
Saudi Arabia,8,0.0008
Scotland,31,0.0031
Senegal,140,0.014
South Africa,17,0.0017
South Korea,79,0.0079
Spain,1264,0.1264
Switzerland,163,0.0163
Tunisia,19,0.0019
United States,205,0.0205
Uruguay,189,0.0189
Uzbekistan,10,0.001
