match_id,stage,team_a,team_b,result_label,simulation_id,match_slot,winner,loser,probability_source
1.0,Group Stage,Mexico,South Africa,team_a_win,1,,,,
4.0,Group Stage,United States,Paraguay,team_a_win,1,,,,
5.0,Group Stage,Qatar,Switzerland,team_a_win,1,,,,
6.0,Group Stage,Brazil,Morocco,team_a_win,1,,,,
7.0,Group Stage,Haiti,Scotland,team_a_loss,1,,,,
9.0,Group Stage,Germany,Curaçao,team_a_win,1,,,,
10.0,Group Stage,Netherlands,Japan,team_a_win,1,,,,
11.0,Group Stage,Ivory Coast,Ecuador,team_a_win,1,,,,
14.0,Group Stage,Belgium,Egypt,draw,1,,,,
15.0,Group Stage,Saudi Arabia,Uruguay,team_a_loss,1,,,,
16.0,Group Stage,Iran,New Zealand,team_a_win,1,,,,
17.0,Group Stage,France,Senegal,team_a_win,1,,,,
19.0,Group Stage,Argentina,Algeria,team_a_win,1,,,,
20.0,Group Stage,Austria,Jordan,team_a_win,1,,,,
22.0,Group Stage,England,Croatia,team_a_win,1,,,,
23.0,Group Stage,Ghana,Panama,team_a_loss,1,,,,
24.0,Group Stage,Uzbekistan,Colombia,team_a_loss,1,,,,
27.0,Group Stage,Canada,Qatar,team_a_loss,1,,,,
28.0,Group Stage,Mexico,South Korea,team_a_win,1,,,,
29.0,Group Stage,United States,Australia,team_a_win,1,,,,
30.0,Group Stage,Scotland,Morocco,draw,1,,,,
31.0,Group Stage,Brazil,Haiti,team_a_win,1,,,,
34.0,Group Stage,Germany,Ivory Coast,team_a_win,1,,,,
35.0,Group Stage,Ecuador,Curaçao,team_a_win,1,,,,
36.0,Group Stage,Tunisia,Japan,team_a_win,1,,,,
37.0,Group Stage,Spain,Saudi Arabia,team_a_win,1,,,,
38.0,Group Stage,Belgium,Iran,team_a_win,1,,,,
40.0,Group Stage,New Zealand,Egypt,team_a_loss,1,,,,
41.0,Group Stage,Argentina,Austria,draw,1,,,,
43.0,Group Stage,Norway,Senegal,team_a_win,1,,,,
44.0,Group Stage,Jordan,Algeria,draw,1,,,,
45.0,Group Stage,Portugal,Uzbekistan,team_a_win,1,,,,
46.0,Group Stage,England,Ghana,team_a_win,1,,,,
47.0,Group Stage,Panama,Croatia,team_a_loss,1,,,,
49.0,Group Stage,Switzerland,Canada,team_a_win,1,,,,
51.0,Group Stage,Scotland,Brazil,team_a_loss,1,,,,
52.0,Group Stage,Morocco,Haiti,draw,1,,,,
54.0,Group Stage,South Africa,South Korea,draw,1,,,,
55.0,Group Stage,Curaçao,Ivory Coast,team_a_loss,1,,,,
56.0,Group Stage,Ecuador,Germany,draw,1,,,,
58.0,Group Stage,Tunisia,Netherlands,team_a_loss,1,,,,
60.0,Group Stage,Paraguay,Australia,team_a_win,1,,,,
61.0,Group Stage,Norway,France,draw,1,,,,
64.0,Group Stage,Uruguay,Spain,team_a_loss,1,,,,
65.0,Group Stage,Egypt,Iran,team_a_win,1,,,,
66.0,Group Stage,New Zealand,Belgium,team_a_loss,1,,,,
67.0,Group Stage,Panama,England,team_a_loss,1,,,,
68.0,Group Stage,Croatia,Ghana,team_a_win,1,,,,
69.0,Group Stage,Colombia,Portugal,team_a_win,1,,,,
71.0,Group Stage,Algeria,Austria,team_a_loss,1,,,,
72.0,Group Stage,Jordan,Argentina,team_a_loss,1,,,,
,Round of 32,Mexico,Switzerland,team_a_win,1,R32_M1,Mexico,Switzerland,elo_fallback
,Round of 32,Brazil,Paraguay,team_a_win,1,R32_M2,Brazil,Paraguay,elo_fallback
,Round of 32,Germany,Tunisia,team_a_win,1,R32_M3,Germany,Tunisia,elo_fallback
,Round of 32,Egypt,Uruguay,team_a_win,1,R32_M4,Egypt,Uruguay,elo_fallback
,Round of 32,France,Austria,team_a_win,1,R32_M5,France,Austria,elo_fallback
,Round of 32,Colombia,Croatia,team_a_win,1,R32_M6,Colombia,Croatia,elo_fallback
,Round of 32,Qatar,South Africa,team_a_loss,1,R32_M7,South Africa,Qatar,elo_fallback
,Round of 32,United States,Scotland,team_a_loss,1,R32_M8,Scotland,United States,elo_fallback
,Round of 32,Netherlands,Ivory Coast,team_a_win,1,R32_M9,Netherlands,Ivory Coast,elo_fallback
,Round of 32,Spain,Belgium,team_a_win,1,R32_M10,Spain,Belgium,elo_fallback
,Round of 32,Argentina,Norway,team_a_loss,1,R32_M11,Norway,Argentina,elo_fallback
,Round of 32,England,Portugal,team_a_loss,1,R32_M12,Portugal,England,elo_fallback
,Round of 32,Ecuador,Canada,team_a_loss,1,R32_M13,Canada,Ecuador,elo_fallback
,Round of 32,Iran,Cabo Verde,team_a_win,1,R32_M14,Iran,Cabo Verde,elo_fallback
,Round of 32,Panama,Algeria,team_a_win,1,R32_M15,Panama,Algeria,elo_fallback
,Round of 32,Morocco,South Korea,team_a_win,1,R32_M16,Morocco,South Korea,elo_fallback
,Round of 16,Mexico,Brazil,team_a_loss,1,R16_M1,Brazil,Mexico,elo_fallback
,Round of 16,Germany,Egypt,team_a_win,1,R16_M2,Germany,Egypt,elo_fallback
,Round of 16,France,Colombia,team_a_win,1,R16_M3,France,Colombia,elo_fallback
,Round of 16,South Africa,Scotland,team_a_win,1,R16_M4,South Africa,Scotland,elo_fallback
,Round of 16,Netherlands,Spain,team_a_loss,1,R16_M5,Spain,Netherlands,elo_fallback
,Round of 16,Norway,Portugal,team_a_win,1,R16_M6,Norway,Portugal,elo_fallback
,Round of 16,Canada,Iran,team_a_loss,1,R16_M7,Iran,Canada,elo_fallback
,Round of 16,Panama,Morocco,team_a_loss,1,R16_M8,Morocco,Panama,elo_fallback
,Quarterfinal,Brazil,Germany,team_a_loss,1,QF_M1,Germany,Brazil,elo_fallback
,Quarterfinal,France,South Africa,team_a_win,1,QF_M2,France,South Africa,elo_fallback
,Quarterfinal,Spain,Norway,team_a_win,1,QF_M3,Spain,Norway,elo_fallback
,Quarterfinal,Iran,Morocco,team_a_loss,1,QF_M4,Morocco,Iran,elo_fallback
,Semifinal,Germany,France,team_a_loss,1,SF_M1,France,Germany,elo_fallback
,Semifinal,Spain,Morocco,team_a_win,1,SF_M2,Spain,Morocco,elo_fallback
,Final,France,Spain,team_a_win,1,FINAL_M1,France,Spain,elo_fallback
1.0,Group Stage,Mexico,South Africa,team_a_loss,2,,,,
4.0,Group Stage,United States,Paraguay,team_a_win,2,,,,
5.0,Group Stage,Qatar,Switzerland,team_a_loss,2,,,,
6.0,Group Stage,Brazil,Morocco,team_a_loss,2,,,,
7.0,Group Stage,Haiti,Scotland,team_a_loss,2,,,,
9.0,Group Stage,Germany,Curaçao,team_a_win,2,,,,
10.0,Group Stage,Netherlands,Japan,draw,2,,,,
11.0,Group Stage,Ivory Coast,Ecuador,team_a_win,2,,,,
14.0,Group Stage,Belgium,Egypt,team_a_win,2,,,,
15.0,Group Stage,Saudi Arabia,Uruguay,team_a_loss,2,,,,
16.0,Group Stage,Iran,New Zealand,team_a_win,2,,,,
17.0,Group Stage,France,Senegal,team_a_loss,2,,,,
19.0,Group Stage,Argentina,Algeria,team_a_win,2,,,,
20.0,Group Stage,Austria,Jordan,team_a_win,2,,,,
22.0,Group Stage,England,Croatia,team_a_win,2,,,,
23.0,Group Stage,Ghana,Panama,team_a_loss,2,,,,
24.0,Group Stage,Uzbekistan,Colombia,team_a_loss,2,,,,
27.0,Group Stage,Canada,Qatar,team_a_win,2,,,,
28.0,Group Stage,Mexico,South Korea,team_a_win,2,,,,
29.0,Group Stage,United States,Australia,team_a_win,2,,,,
30.0,Group Stage,Scotland,Morocco,team_a_loss,2,,,,
31.0,Group Stage,Brazil,Haiti,team_a_win,2,,,,
34.0,Group Stage,Germany,Ivory Coast,team_a_win,2,,,,
35.0,Group Stage,Ecuador,Curaçao,team_a_win,2,,,,
36.0,Group Stage,Tunisia,Japan,team_a_loss,2,,,,
37.0,Group Stage,Spain,Saudi Arabia,draw,2,,,,
38.0,Group Stage,Belgium,Iran,team_a_win,2,,,,
40.0,Group Stage,New Zealand,Egypt,team_a_win,2,,,,
41.0,Group Stage,Argentina,Austria,draw,2,,,,
43.0,Group Stage,Norway,Senegal,draw,2,,,,
44.0,Group Stage,Jordan,Algeria,team_a_loss,2,,,,
45.0,Group Stage,Portugal,Uzbekistan,team_a_win,2,,,,
46.0,Group Stage,England,Ghana,team_a_win,2,,,,
47.0,Group Stage,Panama,Croatia,draw,2,,,,
49.0,Group Stage,Switzerland,Canada,team_a_win,2,,,,
51.0,Group Stage,Scotland,Brazil,draw,2,,,,
52.0,Group Stage,Morocco,Haiti,draw,2,,,,
54.0,Group Stage,South Africa,South Korea,team_a_win,2,,,,
55.0,Group Stage,Curaçao,Ivory Coast,team_a_loss,2,,,,
56.0,Group Stage,Ecuador,Germany,team_a_loss,2,,,,
58.0,Group Stage,Tunisia,Netherlands,team_a_loss,2,,,,
60.0,Group Stage,Paraguay,Australia,draw,2,,,,
61.0,Group Stage,Norway,France,draw,2,,,,
64.0,Group Stage,Uruguay,Spain,team_a_win,2,,,,
65.0,Group Stage,Egypt,Iran,team_a_loss,2,,,,
66.0,Group Stage,New Zealand,Belgium,draw,2,,,,
67.0,Group Stage,Panama,England,team_a_loss,2,,,,
68.0,Group Stage,Croatia,Ghana,team_a_win,2,,,,
69.0,Group Stage,Colombia,Portugal,team_a_loss,2,,,,
71.0,Group Stage,Algeria,Austria,team_a_win,2,,,,
72.0,Group Stage,Jordan,Argentina,team_a_loss,2,,,,
,Round of 32,South Africa,Canada,team_a_win,2,R32_M1,South Africa,Canada,elo_fallback
,Round of 32,Morocco,Paraguay,team_a_loss,2,R32_M2,Paraguay,Morocco,elo_fallback
,Round of 32,Germany,Netherlands,team_a_win,2,R32_M3,Germany,Netherlands,elo_fallback
,Round of 32,Belgium,Saudi Arabia,team_a_win,2,R32_M4,Belgium,Saudi Arabia,elo_fallback
,Round of 32,Senegal,Algeria,team_a_win,2,R32_M5,Senegal,Algeria,elo_fallback
,Round of 32,Portugal,Croatia,team_a_loss,2,R32_M6,Croatia,Portugal,elo_fallback
,Round of 32,Switzerland,Mexico,team_a_loss,2,R32_M7,Mexico,Switzerland,elo_fallback
,Round of 32,United States,Brazil,team_a_win,2,R32_M8,United States,Brazil,elo_fallback
,Round of 32,Japan,Ivory Coast,team_a_loss,2,R32_M9,Ivory Coast,Japan,elo_fallback
,Round of 32,Uruguay,Iran,team_a_win,2,R32_M10,Uruguay,Iran,elo_fallback
,Round of 32,Argentina,Norway,team_a_win,2,R32_M11,Argentina,Norway,elo_fallback
,Round of 32,England,Colombia,team_a_loss,2,R32_M12,Colombia,England,elo_fallback
,Round of 32,Scotland,France,team_a_win,2,R32_M13,Scotland,France,elo_fallback
,Round of 32,New Zealand,Spain,team_a_win,2,R32_M14,New Zealand,Spain,elo_fallback
,Round of 32,Austria,Australia,team_a_win,2,R32_M15,Austria,Australia,elo_fallback
,Round of 32,Panama,Ecuador,team_a_loss,2,R32_M16,Ecuador,Panama,elo_fallback
,Round of 16,South Africa,Paraguay,team_a_loss,2,R16_M1,Paraguay,South Africa,elo_fallback
,Round of 16,Germany,Belgium,team_a_loss,2,R16_M2,Belgium,Germany,elo_fallback
,Round of 16,Senegal,Croatia,team_a_loss,2,R16_M3,Croatia,Senegal,elo_fallback
,Round of 16,Mexico,United States,team_a_win,2,R16_M4,Mexico,United States,elo_fallback
,Round of 16,Ivory Coast,Uruguay,team_a_loss,2,R16_M5,Uruguay,Ivory Coast,elo_fallback
,Round of 16,Argentina,Colombia,team_a_win,2,R16_M6,Argentina,Colombia,elo_fallback
,Round of 16,Scotland,New Zealand,team_a_win,2,R16_M7,Scotland,New Zealand,elo_fallback
,Round of 16,Austria,Ecuador,team_a_loss,2,R16_M8,Ecuador,Austria,elo_fallback
,Quarterfinal,Paraguay,Belgium,team_a_loss,2,QF_M1,Belgium,Paraguay,elo_fallback
,Quarterfinal,Croatia,Mexico,team_a_win,2,QF_M2,Croatia,Mexico,elo_fallback
,Quarterfinal,Uruguay,Argentina,team_a_loss,2,QF_M3,Argentina,Uruguay,elo_fallback
,Quarterfinal,Scotland,Ecuador,team_a_loss,2,QF_M4,Ecuador,Scotland,elo_fallback
,Semifinal,Belgium,Croatia,team_a_loss,2,SF_M1,Croatia,Belgium,elo_fallback
,Semifinal,Argentina,Ecuador,team_a_win,2,SF_M2,Argentina,Ecuador,elo_fallback
,Final,Croatia,Argentina,team_a_loss,2,FINAL_M1,Argentina,Croatia,elo_fallback
1.0,Group Stage,Mexico,South Africa,team_a_win,3,,,,
4.0,Group Stage,United States,Paraguay,team_a_win,3,,,,
