team,simulations,reach_group_stage_prob,reach_round_of_32_prob,reach_round_of_16_prob,reach_quarterfinal_prob,reach_semifinal_prob,reach_final_prob,champion_prob,avg_deepest_stage,champion_count,unresolved_note
Algeria,10000,1.0,0.8051,0.3258,0.1391,0.0595,0.017,0.0054,1.3519,54,
Argentina,10000,1.0,0.9972,0.6704,0.4153,0.2586,0.188,0.1188,2.6483,1188,
Australia,10000,1.0,0.6981,0.2881,0.1374,0.0561,0.0183,0.0068,1.2048,68,
Austria,10000,1.0,0.8692,0.3782,0.1787,0.0811,0.028,0.0093,1.5445,93,
Belgium,10000,1.0,0.9907,0.5528,0.3182,0.1745,0.0873,0.0473,2.1708,473,
Brazil,10000,1.0,0.9894,0.6715,0.4395,0.24,0.1385,0.0708,2.5497,708,
Cabo Verde,10000,1.0,0.2858,0.0901,0.0285,0.0096,0.002,0.0003,0.4163,3,
Canada,10000,1.0,0.9619,0.4587,0.1788,0.0624,0.0197,0.0062,1.6877,62,
Colombia,10000,1.0,0.9047,0.4344,0.1942,0.0997,0.0481,0.0191,1.7002,191,
Croatia,10000,1.0,0.9264,0.4928,0.2469,0.1374,0.062,0.0272,1.8927,272,
Curaçao,10000,1.0,0.2138,0.0678,0.0197,0.0045,0.0004,0.0001,0.3063,1,
Ecuador,10000,1.0,0.9405,0.4381,0.1908,0.0803,0.0301,0.0093,1.6891,93,
Egypt,10000,1.0,0.8598,0.3615,0.1588,0.0659,0.0205,0.007,1.4735,70,
England,10000,1.0,0.9927,0.6294,0.3419,0.2103,0.1366,0.0832,2.3941,832,
France,10000,1.0,0.9619,0.6566,0.4189,0.2826,0.1825,0.111,2.6135,1110,
Germany,10000,1.0,0.9873,0.5866,0.3049,0.1665,0.0845,0.0384,2.1682,384,
Ghana,10000,1.0,0.3589,0.104,0.0302,0.0084,0.0013,0.0004,0.5032,4,
Haiti,10000,1.0,0.2823,0.0787,0.0204,0.0057,0.0011,0.0004,0.3886,4,
Iran,10000,1.0,0.9461,0.4364,0.2239,0.1026,0.039,0.0145,1.7625,145,
Ivory Coast,10000,1.0,0.8436,0.3611,0.1409,0.0559,0.0177,0.0068,1.426,68,
Japan,10000,1.0,0.8257,0.4327,0.2003,0.0948,0.0411,0.0173,1.6119,173,
Jordan,10000,1.0,0.3072,0.0997,0.0306,0.009,0.002,0.0001,0.4486,1,
Mexico,10000,1.0,0.9922,0.6057,0.3086,0.1443,0.0653,0.0282,2.1443,282,
Morocco,10000,1.0,0.9527,0.63,0.4136,0.2296,0.1102,0.0545,2.3906,545,
Netherlands,10000,1.0,0.9701,0.6105,0.3163,0.1568,0.0895,0.0461,2.1893,461,
New Zealand,10000,1.0,0.1853,0.0454,0.013,0.0029,0.0005,0.0001,0.2472,1,
Norway,10000,1.0,0.7056,0.2521,0.091,0.0352,0.0127,0.0045,1.1011,45,
Panama,10000,1.0,0.6893,0.2957,0.1235,0.0524,0.0141,0.0038,1.1788,38,
Paraguay,10000,1.0,0.7421,0.2526,0.1021,0.0342,0.009,0.0031,1.1431,31,
Portugal,10000,1.0,0.9703,0.5314,0.2725,0.1584,0.0953,0.0454,2.0733,454,
Qatar,10000,1.0,0.647,0.2404,0.0802,0.027,0.007,0.0021,1.0037,21,
Saudi Arabia,10000,1.0,0.5188,0.156,0.0461,0.0136,0.0031,0.0008,0.7384,8,
Scotland,10000,1.0,0.756,0.323,0.1303,0.0451,0.0128,0.0031,1.2703,31,
Senegal,10000,1.0,0.6721,0.3096,0.1472,0.077,0.0348,0.014,1.2547,140,
South Africa,10000,1.0,0.7332,0.2649,0.0827,0.0263,0.0063,0.0017,1.1151,17,
South Korea,10000,1.0,0.817,0.4122,0.1818,0.074,0.0236,0.0079,1.5165,79,
Spain,10000,1.0,0.9914,0.7041,0.4876,0.2898,0.1991,0.1264,2.7984,1264,
Switzerland,10000,1.0,0.9383,0.5319,0.2555,0.1118,0.047,0.0163,1.9008,163,
Tunisia,10000,1.0,0.6293,0.2271,0.0757,0.0262,0.006,0.0019,0.9662,19,
United States,10000,1.0,0.9768,0.4621,0.2658,0.12,0.0509,0.0205,1.8961,205,
Uruguay,10000,1.0,0.8082,0.4182,0.2142,0.0992,0.0444,0.0189,1.6031,189,
Uzbekistan,10000,1.0,0.356,0.1117,0.0344,0.0108,0.0027,0.001,0.5166,10,
